plt96,col96,row96,plt384,col384,row384,plt1536,col1536,row1536,gene,eck,jw,comment,flag,flag.comment
1,1,A,1,1,1,1,1,1,hchA,ECK1963,JW1950,4_3,"",""
1,1,B,1,1,3,1,1,5,empty,empty,JW3122,1_1,"",""
1,1,C,1,1,5,1,1,9,ada,ECK2205,JW2201,4_3,"",""
1,1,D,1,1,7,1,1,13,adiY,ECK4109,JW4077,4_3,"",""
1,1,E,1,1,9,1,1,17,appY,ECK0556,JW0553,4_3,"",""
1,1,F,1,1,11,1,1,21,argR,ECK3226,JW3206,4_3,"",""
1,1,G,1,1,13,1,1,25,asnC,ECK3737,JW3721,4_3,"",""
1,1,H,1,1,15,1,1,29,betI,ECK0311,JW0305,4_3,"",""
1,2,A,1,3,1,1,5,1,bglG,ECK3716,JW3701,4_3,"",""
1,2,B,1,3,3,1,5,5,btuR,ECK1264,JW1262,4_3,"",""
1,2,C,1,3,5,1,5,9,cadC,ECK4127,JW4094,4_3,"",""
1,2,D,1,3,7,1,5,13,cbl,ECK1982,JW1966,4_3,"",""
1,2,E,1,3,9,1,5,17,chbR,ECK1733,JW1724,4_3,"",""
1,2,F,1,3,11,1,5,21,crp,ECK3345,JW5702,2_4,"",""
1,2,G,1,3,13,1,5,25,csgD,ECK1026,JW1023,4_3,"",""
1,2,H,1,3,15,1,5,29,cynR,ECK0335,JW5894,4_3,"",""
1,3,A,1,5,1,1,9,1,cytR,ECK3926,JW3905,4_3,"",""
1,3,B,1,5,3,1,9,5,deoR,ECK0830,JW0824,4_3,"",""
1,3,C,1,5,5,1,9,9,dsdC,ECK2360,JW2361,4_3,"",""
1,3,D,1,5,7,1,9,13,ebgR,ECK3065,JW3046,4_3,"",""
1,3,E,1,5,9,1,9,17,envR,ECK3251,JW3232,4_3,"",""
1,3,F,1,5,11,1,9,21,envY,ECK0558,JW0555,4_3,"",""
1,3,G,1,5,13,1,9,25,fadR,ECK1175,JW1176,4_3,"",""
1,3,H,1,5,15,1,9,29,fis,ECK3248,JW3229,4_3,"",""
