gene,log2fc,padj
cueO,-0.405926394673411,8.08914646148851e-08
tatC,-0.282979936616015,5.65515020701656e-07
yciB,-0.206044460449187,5.24252804366874e-06
yfjF,0.17965557534074,5.24252804366874e-06
rfaE,-0.704305156580917,9.19974247152675e-06
not_JW3003,-0.191146461597023,5.19448027435424e-05
atpD,-0.352280648818305,6.60160366490883e-05
yhjD-kan,-0.184633154693533,9.10498826904662e-05
cueR,-0.151687961388143,0.000109884918271334
micF,0.158397815814082,0.000109884918271334
mioC,0.125948178664923,0.000136004209210028
cyoC,-0.132201313553565,0.000140411065241732
imp-DAS-kan,-0.172645700257984,0.000330477586073911
not_JW0637,-0.22730462905705,0.000330477586073911
purA,-0.530584019470481,0.000330477586073911
copA,-1.22996446045339,0.000348582259051612
ykgB,0.084154355967739,0.000526841569635499
not_JW2158,0.279294261927448,0.000556277920481397
pyrC,-0.26998614760274,0.00071151533878452
not_JW0559,-0.227441450750861,0.000758102820836532
yraO,-0.250145171017197,0.000758102820836532
gltX,-0.123037367173478,0.000768850314015109
yihU,0.102985486979071,0.000868918951189423
ribD,0.189255493457172,0.000997196998585952
cyoD,-0.131756878617638,0.000997196998585952
kdsD,0.101324222236647,0.000997196998585952
yfeK,-0.130071089804263,0.00105620926209708
narJ,-0.125526590770337,0.0010575585136714
not_JW3710,-0.367509472906872,0.00112849150611881
rfaH,0.281519010719727,0.00115716273046458
yhgG,0.18475940737177,0.00124604395896819
ychE,-0.0870933484014848,0.00171097223542714
not_JW0951,0.16800835457418,0.00172151368932824
cysH,-0.118967836313733,0.00172151368932824
ushA,-0.14454314999504,0.00182591983062894
yejG,-0.174373080584599,0.00182591983062894
yfdY,0.157997728714557,0.00194035093173416
malQ,-0.130357548991811,0.00203057858696585
yaiT,-0.103677590375065,0.00203299777575981
lrhA,0.158959612101466,0.00225302824716462
rfbX,0.100726154561269,0.00225302824716462
lomR,0.111165768333465,0.00250941800698947
yfiM,0.113800206986853,0.00271173789674748
tatB,-0.17134781446793,0.00271173789674748
not_JW0724,0.398755135057802,0.00271173789674748
phoA,0.115032034509678,0.00271173789674748
pldB,-0.0969831074035755,0.0030276760889332
atpG,-0.28583759691637,0.00310095503505995
pyrD,-0.173559798788781,0.00316660463776726
not_JW0675,0.204857395130421,0.00328711802255385
cyoB,-0.115829533077838,0.00337660025637551
not_JW0682,-0.0929243816672845,0.00343450197496632
yncJ,-0.111888517547089,0.00343450197496632
pgk,-0.107885281021122,0.00343450197496632
yfeU,-0.157961133575,0.00370530202941701
lpxB,-0.0909357769585922,0.0038567237012788
ispG,-0.100707086168089,0.00390617000680088
coaD,0.353238835967551,0.00390617000680088
aaeX,0.18118462397186,0.00399924785812023
glmS,0.242491218423396,0.00405098125127735
ybcH,-0.117745329146327,0.00405098125127735
acrA,-0.183399109041875,0.00452132032094905
lpxA,0.117854363658502,0.00452132032094905
yccW,-0.0865024136192786,0.00452132032094905
rffC,0.147622369817714,0.00455237896521714
