gene,log2fc,padj
mpl,-0.376478893239983,2.73804832704232e-07
tatC,-0.28364128234636,1.11214427157395e-06
yfdY,0.274677738548136,2.06686412205842e-06
cueO,-0.358847876279894,2.06686412205842e-06
gidB,0.300975878942423,2.06686412205842e-06
atpD,-0.406146992489579,2.53782343238866e-06
yhjD-kan,-0.262833091621444,4.74667843331851e-06
mioC,0.147812689176336,9.0955171856616e-06
ycdW,0.244304879828242,9.0955171856616e-06
lrhA,0.276259516579651,1.37104029240357e-05
mfd,-0.175757370002314,2.18519832539681e-05
hisI,-0.116118339881608,2.18519832539681e-05
yejK,0.198651567057327,2.18519832539681e-05
mutY,0.387722073804739,2.18519832539681e-05
rfaE,-0.610433463604757,2.18519832539681e-05
galE,-0.171206141680885,2.64462662172491e-05
birA,-0.159066307113598,3.41662575691914e-05
betB,-0.319027971153149,3.435766894428e-05
yciB,-0.146581077420173,5.16794771225852e-05
micF,0.152909443005816,5.76745441381007e-05
cyoD,-0.145466524881286,9.50111981365072e-05
not_JW2158,0.302272663506226,0.0001010046924833
not_JW1340,-0.305571260775757,0.000101776865675878
yraO,-0.272700904708065,0.000109083624777535
yehR,-0.210730363405673,0.00013709118236225
yqfE,0.193165231471725,0.000141016120311864
yhcO,0.142708666583672,0.000152676775756509
not_JW0637,-0.247856262442585,0.00015735438556606
ybbP,0.15213760200175,0.000177521665868857
yncI,-0.391475112435704,0.000196338679683056
purA,-0.563718771564606,0.000196338679683056
yicG,-0.225653888210071,0.000196338679683056
not_JW3710,-0.440013506396242,0.000196338679683056
yeaD,0.185877245890904,0.000196338679683056
yoaE,-0.271421943210932,0.000210441528864284
ycfK,-0.562816707485077,0.000241917842427173
mdtI,0.228064080967813,0.000326790162879571
ybcK,0.13103418077,0.000326790162879571
mdlA,-0.191862317759166,0.000326790162879571
fecB,-0.182002491178324,0.000334014174169326
trpB,0.129235331641485,0.000334014174169326
rfbX,0.133397040552473,0.000344597009590154
