gene,log2fc,padj
not_JW3003,-1.02804989549901,2.4273071570033e-14
accD,0.256056315809852,4.07428231302657e-06
yciB,-0.18410495756699,4.5616696668085e-06
lpxC (G210S)-kan,-0.265130541704325,1.49759861038644e-05
aaeX,0.229877603107832,7.50083166692865e-05
ribD,0.247196282952083,7.50083166692865e-05
exbB,-0.23633372364285,0.000123039578822767
rfaC,0.710331689418735,0.000123039578822767
lolA-DAS-kan,-0.134858556428531,0.000217653513571206
fepC,-0.66772005736819,0.000369694336046225
yegK,0.158060764357663,0.000578839221452909
yfjG,-0.210297961571144,0.00123336061326871
norW,0.208601356050477,0.00123336061326871
yfdY,0.199858834466156,0.00144651610940587
kdgK,-0.145027173536837,0.00149401687622229
glmS,-0.258708858463368,0.00191014472884269
fabR,0.126568024501474,0.00192461209607321
pldB,-0.13360620228419,0.00203885685029539
yobI,0.157367569762072,0.00203885685029539
ydhC,-0.147803705772634,0.00203885685029539
lpxA,-0.111096818834847,0.00203885685029539
flhA,0.221440362698537,0.00203885685029539
gidB,0.162811031578141,0.00208893517614986
ypdB,0.111485516487159,0.00282800584196657
imp-DAS-kan,-0.126137655874779,0.00282800584196657
fepG,-0.692404130329112,0.00282800584196657
hycI,0.122018498286202,0.00305500100381157
not_JW0675,0.20041913159291,0.00312729674192858
nuoK,0.233878650823505,0.0031711924685556
ygcU,-0.224509792577732,0.00324046478990068
nuoA,0.182493414208568,0.00336402986062766
purB,-0.119612862931507,0.00336402986062766
malX,0.292820762148722,0.00336402986062766
ychE,-0.0806436797361675,0.00361740330572194
glpT,-0.106662198760676,0.00361740330572194
ygcQ,0.117667001535883,0.00361740330572194
caiA,-0.125582169289489,0.00361740330572194
uvrA,0.109820453916482,0.00361740330572194
tolQ,0.221805568738012,0.00361740330572194
not_JW3122,0.120424637173454,0.00361740330572194
nirB,0.128527191520638,0.00361740330572194
fadD,0.156403544272844,0.00361740330572194
not_JW2392,-0.102298131121515,0.00411881938222934
grxA,-0.0962772528263138,0.00411881938222934
glgP,0.103435594169525,0.00411881938222934
not_JW3133,0.242428416132235,0.00421586056320005
dnaJ,-0.159052627229341,0.00474138153524099
ompR,0.170193570966388,0.00474138153524099
gntT,0.192175528102176,0.00489462849807278
not_JW5314,-0.174999755304199,0.00508205436811385
uhpB,0.24385251572767,0.00594653590113461
gor,-0.236688979887717,0.00607935024357446
not_JW5364,-0.158775979941977,0.00626032727614369
purH,0.188688414383304,0.00626940894652135
not_JW0417,-0.104604916275512,0.00635635944260824
kdsD,0.0710924400559513,0.00681844518318048
ubiF,-0.27082630211782,0.0071472392724936
fadL,0.173235323779394,0.0071472392724936
yigA,0.11902597930199,0.0071472392724936
atpG,0.247465507754427,0.0071472392724936
kdtA,0.273698748325656,0.00727962549072463
vacJ,-0.128708777683658,0.0074720600222655
ycgX,-0.239549024247735,0.00770967176862306
acrA,-0.165898493653196,0.00770967176862306
not_JW2612,0.237695506707936,0.00781000594708198
yhjD-kan,-0.0970781610184389,0.00781000594708198
tdk,-0.103160099313497,0.00821658700398488
yhbH,-0.178781996720356,0.00875462191189724
mdtA,-0.185009444225557,0.00875462191189724
csgG,-0.0810471073585571,0.00889225519535708
aphA,-0.124657217328199,0.00907966826100751
rfaQ,-0.121912204410524,0.00961026821847724
yhgG,-0.13671089108112,0.0100151192439714
not_JW1673,-0.417598989127379,0.0105426323596598
phnN,-0.085567371784287,0.0105426323596598
ydcT,-0.147962995775451,0.0105426323596598
yehR,-0.153606254746118,0.0105426323596598
aidB,0.174706732187205,0.0105426323596598
potB,-0.134089029631584,0.0105426323596598
yeaY,0.080352295391373,0.0106083299422419
yfjF,-0.107955470364447,0.0106083299422419
minC,-0.14825656980882,0.0113350598868158
ansP,0.150331229759001,0.0113489112830904
purC,0.174536181603937,0.0131079960512583
mutY,0.219567504945843,0.0134059253130247
not_JW1094,0.0645953363193872,0.0136162691029093
yafL,0.0684892389381208,0.0136162691029093
yggL,0.114249267786179,0.0136162691029093
glpX,-0.157050834492402,0.0136932090433185
ybcQ,-0.183952516630992,0.0137769400052616
yjhT,0.0762264739819256,0.0141989584910745
ylbI,0.158278283265898,0.0143558244760732
ycfZ,-0.0671352427012667,0.0143558244760732
mdtK,-0.083979514000122,0.0143558244760732
rfaH,0.193697509023976,0.0143558244760732
nuoM,0.237350560468331,0.0143558244760732
not_JW5480,-0.103704213916274,0.0143558244760732
frsA,0.0698622284623043,0.0143647253426847
carB,-0.137543334906624,0.0149672027059627
yqeC,-0.152025788320756,0.0162794940565409
cpdB,0.082900004665728,0.0162794940565409
not_JW1105,0.181845331749787,0.0166537304718635
gntY,-0.111523426200226,0.0168908246138883
lolA-DAS+4-kan,-0.0967445944270162,0.0170253724947238
rsd,0.122129295985212,0.017240095825451
yjgA,0.130585777975627,0.0173089617035538
yhhK,0.0652334173217134,0.0179940604244205
not_JW2327,0.090330408018506,0.0179940604244205
sgcR,-0.0829666786291034,0.0179940604244205
